😀 Grinning face                    1F600
🔪 Kitchen knife                    1F52A
🏺 Amphora                          1F3FA        
🌍 Globe showing Europe-Africa      1F30D
🌎 Globe showing Americas           1F30E
🌏 Globe showing Asia-Australia     1F30F
🌐 Globe with meridians             1F310
🗺️ World map                        1F5FA FE0F
🗾 Map of Japan                     1F5FE
🧭 Compass                          1F9ED
🏔️ Snow-capped mountain             1F3D4 FE0F
⛰️ Mountain                         26F0 FE0F
🌋 Volcano                          1F30B    
🗻 Mount fuji                       1F5FB
🏕️ Camping                          1F3D5 FE0F
🏖️ Beach with umbrella              1F3D6 FE0F
🏜️ Desert                           1F3DC FE0F
🏝️ Desert island                    1F3DD FE0F
🏞️ National park                    1F3DE FE0F
🏟️ Stadium 1F3DF                    FE0F
🏛️ Classical building               1F3DB FE0F
🏗️ Building construction            1F3D7 FE0F
🧱 Brick                            1F9F1
🪨 Rock                             1FAA8
🪵 Wood                             1FAB5
🛖 Hut                              1F6D6
🏘️ Houses                           1F3D8 FE0F
🏚️ Derelict house                   1F3DA FE0F
🏠 House                            1F3E0
🏡 House with garden                1F3E1
🏢 Office building                  1F3E2
🏣 Japanese post office             1F3E3
🏤 Post office                      1F3E4
🏥 Hospital                         1F3E5
🏦 Bank                             1F3E6
🏨 Hotel                            1F3E8
🏩 Love hotel                       1F3E9
🏪 Convenience store                1F3EA
🏫 School                           1F3EB
🏬 Department store                 1F3EC
🏭 Factory                          1F3ED
🏯 Japanese castle                  1F3EF
🏰 Castle                           1F3F0
💒 Wedding                          1F492
🗼 Tokyo tower                      1F5FC
🗽 Statue of Liberty                1F5FD
⛪ Church                           26EA
🕌 Mosque                           1F54C
🛕 Hindu temple                     1F6D5
🕍 Synagogue                        1F54D
⛩️ Shinto shrine                    26E9 FE0F
🕋 Kaaba                            1F54B
⛲ Fountain                         26F2
⛺ Tent                             26FA
🌁 Foggy                            1F301
🌃 Night with stars                 1F303
🏙️ Cityscape                        1F3D9 FE0F
🌄 Sunrise over mountains           1F304
🌅 Sunrise                          1F305
🌆 Cityscape at dusk                1F306
🌇 Sunset                           1F307
🌉 Bridge at night                  1F309
♨️ hOt springs                       2668 FE0F
🎠 Carousel horse                   1F3A0
🎡 Ferris wheel                     1F3A1
🎢 Roller coaster                   1F3A2
💈 Barber pole                      1F488
🎪 Circus tent                      1F3AA
🚂 Locomotive                       1F682
🚃 Railway car                      1F683
🚄 High-speed train                 1F684
🚅 Bullet train                     1F685
🚆 Train                            1F686
🚇 Metro                            1F687
🚈 Light rail                       1F688
🚉 Station                          1F689
🚊 Tram                             1F68A
🚝 Monorail                         1F69D
🚞 Mountain railway                 1F69E
🚋 Tram car                         1F68B
🚌 Bus                              1F68C
🚍 Oncoming bus                     1F68D
🚎 Trolleybus                       1F68E
🚐 Minibus                          1F690
🚑 Ambulance                        1F691
🚒 Fire engine                      1F692
🚓 Police car                       1F693
🚔 Oncoming police car              1F694
🚕 Taxi                             1F695
🚖 Oncoming taxi                    1F696
🚗 Automobile                       1F697
🚘 Oncoming automobile              1F698
🚙 Sport utility vehicle            1F699
🛻 Pickup truck                     1F6FB
🚚 Delivery truck                   1F69A
🚛 Articulated lorry                1F69B
🚜 Tractor                          1F69C
🏎️ Racing car                       1F3CE FE0F
🏍️ Motorcycle                       1F3CD FE0F
🛵 Motor scooter                    1F6F5
🦽 Manual wheelchair                1F9BD
🦼 Motorized wheelchair             1F9BC
🛺 Auto rickshaw                    1F6FA
🚲 Bicycle                          1F6B2
🛴 Kick scooter                     1F6F4
🛹 Skateboard                       1F6F9
🛼 Roller skate                     1F6FC
🚏 Bus stop                         1F68F
🛣️ Motorway                         1F6E3 FE0F
🛤️ Railway track                    1F6E4 FE0F
🛢️ Oil drum                         1F6E2 FE0F  
⛽ Fuel pump                        26FD
🚨 Police car light                 1F6A8
🚥 Horizontal traffic light         1F6A5
🚦 Vertical traffic light           1F6A6
🛑 Stop sign                        1F6D1
🚧 Construction                     1F6A7
